Student,LPIPS,SSIM
113590033.png,0.0,1.0
113590040.png,0.14675045013427734,0.80471969366518
111590047.png,0.15360313653945923,0.773665877193604
113370239.png,0.1822029948234558,0.6920342848676782
113590026.png,0.20182353258132935,0.7524657563594355
113590039.png,0.20671039819717407,0.705156831301067
113590051.png,0.20778778195381165,0.727589108100532
113590060.png,0.21652857959270477,0.759535820633336
113590031.png,0.21835903823375702,0.6853995432407233
113590022.png,0.2418643832206726,0.6696162857198141
113590015.png,0.24284154176712036,0.7108697314721981
113590001.png,0.24329209327697754,0.6933542432368898
113590044.png,0.2485237568616867,0.675348406976236
113590021.png,0.24965713918209076,0.7138166692198347
113590061.png,0.2554735541343689,0.7045136780255933
111590028.png,0.2685081660747528,0.709712130020811
110590455.png,0.27344051003456116,0.7230626584106828
113590052.png,0.2743234634399414,0.6845542079279464
113590056.png,0.27668631076812744,0.6634120739654986
111590062.png,0.28220754861831665,0.6933418764790594
112590452.png,0.28958454728126526,0.662380745771166
114054809.png,0.2911689281463623,0.7023132469516906
113590036.png,0.2969585061073303,0.6726836839411566
113590003.png,0.3052389621734619,0.6701344802001977
113590047.png,0.30778414011001587,0.7332494912704831
112590040.png,0.30905723571777344,0.6424558315949337
113590045.png,0.31686893105506897,0.6222073640890371
112590454.png,0.3228164315223694,0.6462845504457017
113590062.png,0.32694920897483826,0.6161318349915442
113590032.png,0.3376225233078003,0.7080811560417507
113590057.png,0.3382684886455536,0.631406101519125
113AB0018.png,0.33930936455726624,0.6048718827130777
113AC1012.png,0.34241700172424316,0.6899544800831281
113590004.png,0.3434370756149292,0.7472034533348187
112590455.png,0.35060766339302063,0.6489713706083158
113590043.png,0.3761141896247864,0.7526870354152794
113590010.png,0.3789045810699463,0.6019884897108387
113590025.png,0.38167184591293335,0.7575121614501983
113590018.png,0.38334742188453674,0.6265499134185996
113590050.png,0.384660005569458,0.5705188343779463
113590006.png,0.38574403524398804,0.5609387087641774
113590002.png,0.3894088566303253,0.6255474121240603
113590023.png,0.3984712064266205,0.5598251667889464
113590011.png,0.41136613488197327,0.5896008720807544
111590042.png,0.4142459034919739,0.7617151592751523
113590059.png,0.42166751623153687,0.5337086204650597
113590028.png,0.42299365997314453,0.5667491937653666
113590042.png,0.4347955584526062,0.587577122821373
113590049.png,0.45302867889404297,0.5147472015357235
111590455.png,0.5175795555114746,0.5131718735500785
113590008.png,0.5359079241752625,0.44840669423143203
112590058.jpg,0.547166109085083,0.4086949278234213
